"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMEM74B",2.17615907159537e-06,1.77821144282174,0.026,0.007,0.0930220956744155
"PTPN1",2.18461415409015e-06,0.319120568977882,0.288,0.191,0.0933835166307378
"MARVELD1",2.20322566185546e-06,-2.66507000434239,0.026,0.092,0.0941790841416735
"RPA1",2.20403150903327e-06,-1.21207467212226,0.157,0.247,0.0942135308851361
"TIPRL",2.20792526819091e-06,-0.851250347314064,0.381,0.445,0.0943799735140886
"RWDD1",2.2233383812986e-06,0.167411175664093,0.679,0.51,0.09503882244699
"HIST3H2A",2.22878308423563e-06,-1.33732701072531,0.167,0.253,0.0952715617187361
"KIF1B",2.24094285200186e-06,0.780438354628202,0.193,0.118,0.0957913431516714
"CDK6",2.24232376126044e-06,-1.8040891349322,0.079,0.159,0.0958503714988386
"AREL1",2.25413413330078e-06,1.26945158617206,0.074,0.032,0.0963552176620751
"CROCC",2.25835337709949e-06,0.908028749838299,0.09,0.043,0.0965355734574948
"NFAT5",2.26556473225093e-06,0.59556709811164,0.252,0.163,0.0968438300447984
"MTRNR2L10",2.27265666660775e-06,1.49195077753616,0.019,0.004,0.0971469818708147
"GTF3A",2.27664377855324e-06,-0.707897827890051,0.514,0.545,0.0973174149580369
"RP5-832C2.5",2.30732441785714e-06,1.83938641830232,0.038,0.012,0.0986288895657213
"RP11-159D12.2",2.3074264668364e-06,1.88869763604213,0.021,0.005,0.0986332517513887
"RP11-38L15.3",2.30762726741482e-06,2.06456892890217,0.014,0.002,0.0986418351729139
"BOLA3",2.349431919992e-06,-0.805377573306184,0.464,0.506,0.100428816851978
"IQGAP3",2.35295866622623e-06,-5.64439840759866,0,0.05,0.100579571146506
"MARK2",2.35855764750123e-06,0.319444333479693,0.279,0.182,0.100818905200088
"FGFRL1",2.35932237113989e-06,0.847966912812603,0.067,0.028,0.100851594076746
"PERM1",2.36603725461259e-06,1.48379319296505,0.036,0.011,0.10113862848567
"PPP1R3B",2.37100939010426e-06,0.629375184506046,0.136,0.074,0.101351167389397
"ICK",2.3767230065651e-06,0.368010011086769,0.167,0.095,0.101595401638632
"NKAIN1",2.38624216567389e-06,1.77892935729342,0.026,0.007,0.102002307613896
"MCTS1",2.39623300014213e-06,-0.778078885244474,0.46,0.503,0.102429375824075
"DOHH",2.41042116363759e-06,0.39222719080789,0.233,0.144,0.103035863060852
